CATALUNYA;GLOBAL;2021-10-01;Home;20 a 29;Si;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1
CATALUNYA;GLOBAL;2021-10-01;Home;30 a 39;Si;0;8;1;0;0;0;0;0;0;0;0;0;6;0;1;0
CATALUNYA;GLOBAL;2021-10-01;Home;40 a 49;Si;0;14;0;0;0;0;0;0;0;0;0;0;7;0;2;0
CATALUNYA;GLOBAL;2021-10-01;Home;50 a 59;Si;0;26;3;0;0;2;1;0;0;0;0;0;10;3;1;0
CATALUNYA;GLOBAL;2021-10-01;Home;60 a 69;Si;0;32;3;0;0;0;0;0;0;0;0;0;12;2;0;2
CATALUNYA;GLOBAL;2021-10-01;Home;70 a 79;Si;0;46;5;0;0;5;0;0;0;0;0;0;37;4;1;0
CATALUNYA;GLOBAL;2021-09-30;Dona;0 a 9;Si;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CATALUNYA;GLOBAL;2021-09-30;Dona;10 a 19;Si;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
CATALUNYA;GLOBAL;2021-09-30;Dona;20 a 29;Si;0;5;0;0;0;0;0;0;0;0;0;0;4;0;0;1
CATALUNYA;GLOBAL;2021-09-30;Dona;30 a 39;Si;0;8;0;0;0;0;0;0;0;0;0;0;4;0;0;0
CATALUNYA;GLOBAL;2021-09-30;Dona;40 a 49;Si;1;11;0;0;0;1;0;0;1;0;1;0;9;0;1;0
CATALUNYA;GLOBAL;2021-09-30;Dona;50 a 59;Si;0;17;1;0;0;0;0;0;0;0;0;0;13;1;0;0
CATALUNYA;GLOBAL;2021-09-30;Dona;60 a 69;Si;0;16;2;0;0;0;0;0;0;0;0;0;11;2;0;2
CATALUNYA;GLOBAL;2021-09-30;Dona;70 a 79;Si;0;35;7;0;0;1;0;0;0;0;0;0;27;6;3;4
CATALUNYA;GLOBAL;2021-09-30;Home;0 a 9;Si;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CATALUNYA;GLOBAL;2021-09-30;Home;10 a 19;Si;0;3;2;0;0;0;0;0;0;0;0;0;2;2;3;1
CATALUNYA;GLOBAL;2021-09-30;Home;20 a 29;Si;0;1;2;0;0;0;0;0;0;0;0;0;0;2;0;1
CATALUNYA;GLOBAL;2021-09-30;Home;30 a 39;Si;0;6;0;0;0;0;0;0;0;0;0;0;5;0;0;0
CATALUNYA;GLOBAL;2021-09-30;Home;40 a 49;Si;0;13;2;0;0;0;0;0;0;0;0;0;12;1;1;0
CATALUNYA;GLOBAL;2021-09-30;Home;50 a 59;Si;0;19;0;0;1;2;1;0;0;0;0;0;14;0;0;1
CATALUNYA;GLOBAL;2021-09-30;Home;60 a 69;Si;0;18;3;0;0;0;0;0;0;0;0;0;10;3;0;1
CATALUNYA;GLOBAL;2021-09-30;Home;70 a 79;Si;1;25;4;1;0;4;1;0;0;1;0;1;13;3;1;0
CATALUNYA;GLOBAL;2021-09-29;Dona;0 a 9;Si;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CATALUNYA;GLOBAL;2021-09-29;Dona;10 a 19;Si;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CATALUNYA;GLOBAL;2021-09-29;Dona;20 a 29;Si;0;7;0;0;0;1;0;0;0;0;0;0;5;0;1;0
CATALUNYA;GLOBAL;2021-09-29;Dona;30 a 39;Si;0;13;0;0;0;0;0;0;0;0;0;0;8;0;0;0
CATALUNYA;GLOBAL;2021-09-29;Dona;40 a 49;Si;0;12;4;0;0;1;0;0;0;0;0;0;10;4;0;0
CATALUNYA;GLOBAL;2021-09-29;Dona;50 a 59;Si;0;11;4;0;0;0;0;0;0;0;0;0;5;3;0;0
CATALUNYA;GLOBAL;2021-09-29;Dona;60 a 69;Si;0;23;6;0;0;0;0;0;0;0;0;0;15;4;0;3
CATALUNYA;GLOBAL;2021-09-29;Dona;70 a 79;Si;0;55;5;0;0;1;0;0;0;0;0;0;34;3;0;4
CATALUNYA;GLOBAL;2021-09-29;Home;0 a 9;Si;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CATALUNYA;GLOBAL;2021-09-29;Home;10 a 19;Si;0;9;5;0;0;0;0;0;0;0;0;0;6;5;1;2
CATALUNYA;GLOBAL;2021-09-29;Home;20 a 29;Si;0;6;2;0;0;0;0;0;0;0;0;0;5;2;0;0
CATALUNYA;GLOBAL;2021-09-29;Home;30 a 39;Si;0;6;3;0;0;0;0;0;0;0;0;0;5;3;0;2
CATALUNYA;GLOBAL;2021-09-29;Home;40 a 49;Si;0;8;2;0;0;0;0;0;0;0;0;0;4;1;0;0
CATALUNYA;GLOBAL;2021-09-29;Home;50 a 59;Si;0;8;6;0;0;3;0;0;0;0;0;0;5;6;0;0
