NOM;CODI;DATA;SEXE;GRUP_EDAT;RESIDENCIA;CASOS_CONFIRMAT;PCR;TAR;INGRESSOS_TOTAL;INGRESSOS_CRITIC;INGRESSATS_TOTAL;INGRESSATS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-10-02;Dona;30 a 39;Si;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CATALUNYA;GLOBAL;2021-10-02;Dona;40 a 49;No;11;338;233;1;0;12;4;0;5;6;6;7;273;200;43;38
CATALUNYA;GLOBAL;2021-10-02;Dona;40 a 49;Si;0;1;1;0;0;1;0;0;0;0;0;0;1;1;0;0
CATALUNYA;GLOBAL;2021-10-02;Dona;50 a 59;No;7;328;162;0;0;17;4;0;3;4;4;4;265;133;18;14
CATALUNYA;GLOBAL;2021-10-02;Dona;50 a 59;Si;0;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0
CATALUNYA;GLOBAL;2021-10-02;Dona;60 a 69;No;11;291;117;1;0;28;10;0;5;6;9;7;250;99;12;6
CATALUNYA;GLOBAL;2021-10-02;Dona;60 a 69;Si;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0
CATALUNYA;GLOBAL;2021-10-02;Dona;70 a 79;No;5;287;80;1;0;14;3;0;2;3;3;3;263;76;3;2
CATALUNYA;GLOBAL;2021-10-02;Dona;70 a 79;Si;0;19;0;0;0;1;0;0;0;0;0;0;8;0;0;0
CATALUNYA;GLOBAL;2021-10-02;Dona;80 o més;No;4;270;42;2;1;25;1;0;4;0;4;0;253;38;0;0
CATALUNYA;GLOBAL;2021-10-02;Dona;80 o més;Si;0;65;7;0;1;9;0;0;0;0;0;0;36;5;0;0
CATALUNYA;GLOBAL;2021-10-02;Home;0 a 9;No;9;144;253;0;0;0;0;0;9;0;11;0;131;236;1;0
CATALUNYA;GLOBAL;2021-10-02;Home;0 a 9;Si;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CATALUNYA;GLOBAL;2021-10-02;Home;10 a 19;No;8;133;298;3;1;5;1;0;6;2;6;2;114;253;123;253
CATALUNYA;GLOBAL;2021-10-02;Home;10 a 19;Si;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
CATALUNYA;GLOBAL;2021-10-02;Home;20 a 29;No;1;133;181;0;0;3;1;0;0;1;0;2;107;147;162;159
CATALUNYA;GLOBAL;2021-10-02;Home;20 a 29;Si;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
